Refeicao,Cafe da Manha,Cafe da Manha,Cafe da Manha,Almoco,Almoco,Almoco,Almoco,Almoco,Jantar,Jantar,Jantar,Jantar
Itens,Cha,Pao,Fruta,Prato Principal,Guarnicao,Sobremesa,Saladas,Opcao Vegana,Prato Principal,Guarnicao,Saladas,Opcao Vegana
2018-09-03,Chá mate,Pão francês com margarina,Abacaxi,Moída ao sugo,Purê pratico,Murgot,Acelga e beterraba ralada,Trigo em grão refogado ,Barreado,Sopa Califórnia,Escarola e tomate,Barreado de feijão fradinho 
2018-09-04,Chá de camomila,Pão de leite com doce de leite ,Laranja,Picadinho de carne,Macarrão alho e óleo ,Gelatina de cereja,Escarola e cenoura ralada,Soja refogada,File de peixe à milanesa c/ molho tártaro,Sopa eslava,Alface crespa e pepino,Nuggets de ervilha
2018-09-05,Chá de maca,Pão francês com queijo,Mamão,File de peixe frito,Abobrinha colorida,Melão,Alface e rabanete,Hambúrguer de feijão cavalo,Bife m. escuro,Canja,Radite e macarronese,Pts ao m. escuro
2018-09-06,Chá de hortelã,Pão hot dog com margarina,Banana,Bife a fantasia,Chuchu e cenoura refogados ,Pudim de chocolate,Radite e pepino,Feijão branco a fantasia,Espetinho de frango,Creme de milho,Agrião e abobrinha ralada,Espetinho de legumes c/ berinjela e PTS
2018-09-07,Chá de erva cidreira,Pão francês com presunto,Melão,Filé de frango ao molho de mostarda,Arroz colorido,Salada de frutas,Alface e tomate,Grão de bico ao m. mostarda,Cubos suínos ao m. pimentão,Sopa primavera,Acelga e tabule,Feijão cavalo ao molho de pimentão
2018-09-08,Chá de morango,Pão hot dog com doce banana,Laranja ,Bisteca ao molho cheff,Quirera com costelinha,Maçã,Acelga e berinjela ao vinagrete,Lentilha ao molho do chefe,Posta recheada,Caldo italiano,Almeirão e chuchu com milho,Abobrinha recheada com feijão branco
2018-09-09,Chá de erva-doce,Pão hot dog com margarina,maçã,Cubos ao molho escuro,Couve flor e brócolis sauteé,Gelflan,Almeirão e macarronese,Bolinho de espinafre com trigo em grão,Panqueca de frango,Sopa minestronni II,Rúcula e Colorida II,Panqueca de ervilha
2018-09-10,Chá de hortelã,Pão francês com presunto,murgot,Bife acebolado,Repolho à portuguesa,Mamão fatiado ,Escarola e cenoura ralada,Arroz com lentilha (cebola crocante),Bisteca à cigana,Sopa de raízes,Alface e caipira,Feijão cavalo à cigana
2018-09-11,Chá de erva-cidreira,Pão de leite com doce ,Mamão fatiado,Pernil em cubos ao mol. oriental,Quibebe,Pudim bicolor,Alface e tomate,Pimentão recheado com soja,Strogonoff bovino,Sopa campestre,Agrião e cenoura ralada,Hambúrguer de soja em grão 
2018-09-12,Chá de morango,Pão francês com margarina,Abacaxi,Barreado,Farofa de banana,Maçã,Agrião e chuchu ,Barreado de PTS,Frango ao molho sugo,Sopa mineira,Rúcula e vagem,Almôndega de grão de bico ao sugo
2018-09-13,Chá de camomila,Pão hot dog com queijo,Laranja,Frango crocante,Legumes sauté,Torta de Amendoim,Rúcula e beterraba cozida,Croquete de feijão cavalo,Quibe frito,Sopa da casa,Tropical e tomate,Quibe de PTS
